ORF alpha.0 alpha.7 alpha.14 alpha.21 alpha.28 alpha.35 alpha.42 alpha.49 alpha.56 alpha.63 alpha.70 alpha.77 alpha.84 alpha.91 alpha.98 alpha.105 alpha.112 alpha.119 Elu.0 Elu.30 Elu.60 Elu.90 Elu.120 Elu.150 Elu.180 Elu.210 Elu.240 Elu.270 Elu.300 Elu.330 Elu.360 Elu.390 cdc15.10 cdc15.30 cdc15.50 cdc15.70 cdc15.90 cdc15.110 cdc15.130 cdc15.150 cdc15.170 cdc15.190 cdc15.210 cdc15.230 cdc15.250 cdc15.270 cdc15.290 spo.0 spo.2 spo.5 spo.7 spo.9 spo.11 spo5.2 spo5.7 spo5.11 spo..early spo..mid heat.0 heat.10 heat.20 heat.40 heat.80 heat.160 dtt.15 dtt.30 dtt.60 dtt.120 cold.0 cold.20 cold.40 cold.160 diau.a diau.b diau.c diau.d diau.e diau.f diau.g Label gene_class
YDR406W -0.84 -0.12 -0.14 -0.1 -0.15 0.41 -0.27 -0.25 -0.32 -0.58 0.15 -0.94 -0.49 -0.92 0.19 -0.17 -0.03 -0.2 0.16 -0.34 -0.54 -0.38 -0.58 -0.12 -0.64 -0.45 -0.03 -0.51 -0.47 -0.4 -0.27 -0.64 -0.29 -0.42 -0.47 -0.15 -0.42 -0.43 -0.14 0.49 0.06 -0.32 -0.09 0.32 -0.74 -0.54 -0.84 0.12 0.18 0.24 0.41 0.43 0.46 0.07 0.1 0.04 -0.22 0.15 -0.2 3.2 1.58 0.03 0.01 0.31 -0.86 -0.42 -0.25 -0.17 0.4 0.31 1.45 0.4 0.08 0.06 0.01 -0.12 -0.32 -0.45 -0.42 nc 2
YDR408C -0.4 -0.43 -0.89 -0.3 -0.67 -0.58 -0.23 -0.67 -0.07 -0.06 -0.27 -0.43 -0.38 -0.71 -0.69 -0.43 -0.51 -0.38 0.43 -0.51 -0.36 -0.4 -0.27 -0.43 -0.22 -0.3 -0.34 -0.71 -0.12 -0.29 -0.94 -0.25 -0.04 0.14 0.16 0.14 -0.62 0.42 0.18 1.21 0.31 -1.03 -1.12 0.59 -1.51 -0.42 -0.74 -0.06 -0.07 -0.32 -0.32 -0.12 0.11 -0.18 -0.18 0.2 -0.81 -0.38 -0.18 -0.47 -0.14 0.19 -0.97 0.01 -0.34 -0.09 -0.92 -0.76 0.16 0.45 -0.2 -0.4 -0.36 -0.22 -0.03 -0.42 0.23 0.31 -0.62 nc 2
YDR414C -0.3 -0.4 -0.04 0.31 0.15 -0.12 0.16 -0.4 -0.14 -0.1 -0.18 -0.2 0.31 -0.29 -0.14 -0.22 -0.22 -0.32 -1.4 -0.34 -0.71 -0.6 -0.22 -0.12 -0.22 -0.12 -0.03 -0.07 -0.01 -0.51 -0.23 -0.14 -0.76 -0.54 -0.29 -0.22 -0.36 -0.64 -0.58 -0.27 -0.51 -0.36 -0.67 -1.12 -0.54 -0.71 -0.45 -0.09 -0.22 -0.84 -0.38 -0.04 -0.86 0.53 -0.4 -0.12 0.48 0.04 -0.12 -0.79 -0.6 -0.97 -0.49 -0.42 -0.14 -0.47 -0.79 -0.69 -0.25 0.03 -1.03 -1.15 -0.23 -0.09 0.36 -0.32 -0.56 -0.07 0.04 nc 2
YDR429C -0.01 -0.51 0.46 -0.25 -0.56 0.03 -0.49 0.15 0.61 -0.36 0.26 -0.01 -0.17 -0.2 -0.27 0.34 -0.3 -0.15 -0.15 -0.15 0.2 1.4 0.58 0.48 0.45 0.37 -0.03 0.08 0.37 -0.2 -0.2 -0.03 0.14 0.25 0.18 -0.23 -0.09 -0.09 -0.04 -0.25 -0.27 -0.17 -0.03 0.03 0.36 -0.01 0.31 0.15 -0.47 -0.32 -0.86 -0.64 -0.27 -0.09 -0.4 0.07 -1.18 -0.71 -0.25 -1.94 -1.89 -1.36 -1.03 -0.74 0.36 0.58 -0.58 -0.81 -0.29 -0.14 -0.62 -0.34 0.48 0.25 0.58 -0.17 -0.36 -0.27 -1.25 nc 2
YDR436W -0.54 0.38 -0.07 -0.2 -0.81 -0.12 -0.62 -0.14 -0.03 0.23 0.32 -0.12 -0.1 -0.64 -0.6 -0.1 -0.3 -0.04 0.96 0.2 -0.32 -0.15 -0.17 -0.3 -0.12 0.24 0.23 0.16 0.25 0.37 0.58 0.52 -0.56 -0.15 -0.18 -0.18 -0.04 0.14 0.07 0.18 0.68 -0.18 0.08 0.81 0.19 0.1 0.19 0.01 -0.32 -0.42 -0.45 -0.79 -0.6 0.01 0.23 -0.17 0.34 0.8 0.54 1.07 1.04 0.55 0.2 0.18 -0.43 -0.4 0.1 0.07 0.1 0.41 0.56 1.14 -0.17 -0.22 -0.47 -0.36 -0.42 0.31 0.53 nc 2
YDR440W -0.38 -0.18 -0.14 0.26 0.15 0.03 -0.14 -0.03 -0.38 -0.2 -0.17 0.14 0.21 -0.3 -0.2 -0.34 0.15 -0.42 -0.22 -0.14 0.12 0.06 0.65 0.38 -0.12 -0.15 -0.2 -0.06 0.07 -0.32 -0.32 -0.34 -0.49 0.11 0.24 -0.27 -0.42 -0.6 0.06 0.08 -0.18 -0.22 -0.4 -1.06 -0.18 -0.45 -0.36 -0.14 0.49 0.62 0.3 0.18 0.18 -0.14 -0.79 -0.74 1.23 1 0.55 -0.42 -0.06 -0.09 -0.42 0.42 -0.38 -0.27 -0.58 -0.67 0.2 0.59 0.63 0.93 -0.25 -0.3 -0.15 -0.32 -0.4 -0.54 -1.32 nc 2
YDR446W 0.01 -0.07 0.01 -0.36 -0.07 -0.47 -0.14 0.1 -0.07 -0.01 -0.23 -0.29 -0.06 -0.4 -0.29 -0.29 -0.07 -0.25 -0.71 -0.6 -0.4 -0.58 -0.4 -0.23 -0.36 -0.36 -0.42 -0.43 -0.1 -0.51 -0.71 -0.71 -0.71 -0.29 -0.3 -0.29 -0.25 -0.27 -0.54 -0.79 -0.49 -0.25 -0.45 -1 -0.92 -0.76 -1.09 -0.12 2.93 3.96 3.83 4 3.27 -1.6 -0.14 -1.29 4.14 4.7 0.03 -0.3 -0.81 -0.27 -0.92 -0.01 -0.94 -0.07 -0.81 -0.23 -0.22 0.37 -0.17 -0.22 -0.43 -0.56 -0.43 -0.64 -0.94 -0.67 -1.94 nc 2
YDR464W -0.32 -0.54 -0.47 -0.17 0.01 -0.47 -0.04 0.12 -0.04 0.16 -0.14 0.53 -0.36 -0.22 -0.06 -0.14 -0.18 -0.6 -0.25 -0.69 -0.76 -0.18 -0.25 -0.36 -0.34 -0.47 -0.06 -0.06 -0.4 -0.14 0.12 -0.4 0.2 0.16 0.19 0.19 0.1 -0.01 -0.18 -0.38 0.07 -0.17 -0.2 -1 -0.4 -0.32 -0.32 -0.23 -0.2 0.3 0.26 0.25 0.48 -0.38 -0.1 -0.03 -0.2 0.33 -0.74 -0.22 -0.62 -0.3 -0.25 -0.43 -0.3 -0.56 -0.38 -0.04 -0.42 -0.23 -0.84 -0.76 -0.04 -0.18 -0.14 -0.51 -0.4 -0.76 -0.81 nc 2
YDR468C -0.12 -0.22 -0.25 -0.25 -0.07 -0.38 0.24 -0.2 -0.1 -0.04 -0.32 -0.17 0.03 -0.36 -0.1 -0.25 -0.04 -0.14 -0.23 -0.42 -0.42 -0.56 -0.3 -0.54 -0.49 -0.45 -0.23 -0.29 -0.2 -0.07 -0.27 0.07 -0.45 -0.22 0.08 -0.14 -0.04 -0.4 0.07 0.19 0.14 -0.07 -0.1 -0.07 -0.22 -0.1 -0.17 -0.36 -0.29 -0.12 0.28 0.14 -0.17 0.01 0.03 -0.38 -0.14 -0.22 -0.2 0.18 0.08 -0.29 -0.32 -0.71 -0.18 0.29 -0.54 -0.06 -0.81 0.12 -0.36 0.86 -0.14 -0.03 0.28 -0.14 -0.15 0.77 -0.15 nc 2
YDR503C -0.27 0.4 0.28 0.75 -0.06 0.12 -0.43 -0.3 -0.2 -0.4 -0.03 0.2 0.26 -0.2 -0.25 -0.22 -0.34 -0.4 -0.81 -0.36 -0.15 -0.25 -0.34 -0.17 -0.09 0.07 -0.18 -0.07 -0.2 -0.2 -0.27 -0.14 -0.2 0.08 0.11 -0.51 -1.15 -1.03 -0.01 0.51 0.14 -0.71 -0.71 -0.56 0.12 0.15 0.19 0.1 0.64 0.16 0.39 0.16 0.39 0.59 0.19 -0.22 1.23 0.73 -0.01 0.62 0.43 0.23 0.12 -0.22 -0.32 0.24 0.77 0.41 -0.2 0.54 -0.38 -0.58 0.1 0.06 0.56 0.08 0.2 0.23 0.34 nc 2
YDR518W -0.06 -0.18 0.36 0.48 0.48 0.21 0.52 -0.27 -0.18 0.11 -0.25 0.06 0.12 0.06 0.06 -0.3 -0.34 -0.43 -0.94 -0.71 -0.64 -0.81 -0.51 -0.25 -0.29 0.07 0.06 -0.04 -0.12 -0.15 -0.15 0.08 -0.45 -0.58 -0.29 -0.38 -0.69 -0.89 -0.45 0.19 0.01 -0.4 -0.81 -1.09 -0.58 -0.17 -0.47 -0.2 0.7 0.42 0.86 0.28 0.33 0.04 -0.32 -0.62 1.41 0.89 -0.18 0.07 -0.58 -0.74 0.18 -1.06 0.86 0.58 1.66 1.42 -0.47 -0.38 -0.86 -0.84 -0.17 0.1 0.16 -0.38 -0.07 0.03 -0.2 nc 2
YEL009C -0.1 0.03 -0.04 0.06 -0.09 0.26 -0.22 0.15 0.01 0.15 0.11 -0.32 -0.04 -0.09 0.14 0.08 0.19 0.04 0.88 0.41 1.16 0.54 0.56 0.65 0.44 0.29 0.07 0.31 0.5 0.18 0.15 0.39 -0.32 -0.45 -0.32 0.06 -0.03 -0.1 -0.22 -0.18 0.03 0.01 0.19 0.59 -0.27 -0.29 -0.29 0.19 0.03 -0.4 -1 -1.64 -1.4 0.42 -0.58 -1.12 -0.64 -1.47 -0.14 -1.12 -0.64 -0.54 -0.64 -0.18 0.52 -0.71 -0.29 -0.42 -0.04 -0.03 -0.79 -0.54 0.14 0.31 0.55 -0.18 -0.22 -0.45 0.24 nc 2
YEL011W -0.51 1.08 0.77 0.15 -0.76 -0.17 -0.69 -0.25 0.03 0.3 0.3 0.03 -0.1 -0.56 -0.14 0.14 -0.36 -0.2 1.45 0.56 -0.22 -0.47 -1.47 -1.09 -0.43 0.21 0.21 -0.25 -0.17 0.8 0.88 0.58 0.08 -0.49 -0.07 0.24 -0.29 -0.03 0.64 0.56 0.72 -0.03 0.14 1.97 1.26 1.82 1.99 0.1 -0.81 -1.47 -2.12 -1.6 -1.43 0.86 -0.97 -0.32 0.11 -0.34 0.2 3.18 1.31 0.71 0.34 0.26 -0.12 -0.27 -0.06 0.23 0.12 0.42 0.24 -0.4 -0.29 0.12 0.5 0.82 0.5 2.62 2.87 nc 2
YEL019C -0.03 -0.22 -0.1 -0.06 0.45 0.19 0.21 0.14 -0.09 0.07 -0.43 -0.1 -0.06 -0.27 -0.3 -0.25 -0.15 -0.2 -0.03 -0.09 -0.17 -0.36 0.2 -0.07 0.01 -0.22 -0.34 -0.38 0.04 -0.4 -0.42 -0.27 -0.29 0.07 -0.29 -0.51 -0.32 -0.43 -0.71 -0.64 -0.58 -0.56 -0.71 -0.3 -0.42 -0.62 -0.64 -0.34 -0.3 -0.25 -0.42 -0.43 0.03 -0.2 -0.43 0.74 -0.12 -0.27 0.4 -0.25 -0.2 0.46 0.53 0.7 -0.86 -0.25 -0.42 -0.4 0.18 0.33 0.75 0.48 -0.18 -0.15 -0.01 -0.42 -0.49 0.33 0.1 nc 2
YEL037C -0.01 -0.25 -0.23 -0.18 0.31 -0.07 0.33 0.14 0.24 -0.04 -0.15 -0.18 -0.2 -0.18 -0.14 -0.07 0.1 -0.15 0.54 0.55 0.12 0.12 0.28 0.04 0.31 0.39 0.24 0.08 0.4 0.34 0.34 0.44 0.04 -0.42 -0.69 -0.32 -0.32 -0.34 -0.32 -0.67 -0.64 -0.18 -0.04 -0.62 0.08 -0.27 -0.18 0.04 0.38 1.01 0.81 0.64 -0.27 -0.79 -0.03 -0.38 1.01 1.08 0.42 0.04 0.61 0.87 0.43 1.01 -0.29 -0.6 0.06 -0.06 0.75 0.7 1 1.18 -0.76 -0.12 0.33 -0.36 -0.71 0.7 0.32 nc 2
YEL055C -0.25 -0.62 -0.62 -0.23 -0.2 0.07 -0.34 0.11 0.31 -0.18 0.44 0.23 0.07 0.01 -0.03 0.43 -0.29 -0.01 -0.74 -0.69 -0.09 -0.01 0.07 0.34 0.4 -0.07 -0.3 -0.03 0.1 -0.45 -0.51 -0.38 0.57 0.33 -0.06 0.11 -0.17 -0.04 -0.14 -0.23 -0.17 -0.14 -0.47 -0.01 -0.4 -0.79 -0.79 -0.23 0.15 0.24 0.8 0.93 0.99 -0.27 0.45 0.54 0.15 -0.25 -0.2 -1.36 -1.51 -0.58 -0.51 -0.49 -0.67 -0.58 -0.89 -0.76 -0.15 -0.62 -0.32 -0.14 0.28 0.38 0.59 -0.25 -0.49 -0.92 -1.29 nc 2
YEL058W 0.49 0.26 0.2 0.08 -0.27 -0.07 -0.32 -0.4 0.03 0.11 0.28 0.01 -0.07 -0.47 -0.2 0.11 -0.47 -0.15 -0.32 0.11 0.23 0.04 0.14 0.06 0.24 0.39 0.52 0.57 0.44 0.48 0.6 0.68 0.38 0.43 0.5 0.15 0.06 0.03 0.42 0.39 0.33 0.06 0.2 0.37 0.7 0.57 0.62 0.1 -0.36 -0.07 1.45 1.64 1.37 -0.86 1.61 1.56 -0.58 0.48 0.01 -0.14 -0.07 0.24 -0.01 -0.92 -0.04 -0.54 0.43 0.33 0.1 0.88 -0.49 -0.64 -0.4 0.1 0.62 -0.07 -0.51 0.65 -0.29 nc 2
YEL060C 1.35 1.78 1.63 1.54 1.06 0.65 0.81 0.6 0.39 0.48 0.42 0.64 0.5 0.14 0.36 0.34 0.4 0.4 1.68 1.21 0.54 0.33 0.18 -0.09 -0.27 0.21 0.41 -0.07 0.19 0.42 0.59 0.53 0.04 -0.4 0.15 0.85 0.64 -0.2 0.53 0.59 0.85 1.18 0.48 -0.18 1.37 1.53 1.66 -0.07 -0.29 -0.3 -0.84 -1.56 -1.94 0.51 -0.18 -1.15 0.01 -0.17 1.01 2.88 1.75 1.9 1.16 0.87 -0.56 0.15 1.55 1.36 0.68 0.59 2.43 2.81 0.21 -0.29 0.29 -0.01 -0.04 1.71 0.96 nc 2
YER001W -2.18 -0.58 0.87 1.71 0.64 0.66 -0.27 -0.43 -0.97 -0.84 0.18 1.46 1.13 1.1 0.31 0.07 -0.86 -0.76 -1.18 -0.18 0.03 -0.34 0.41 0.64 0.7 0.3 -0.01 0.4 0.49 -0.47 -1.09 -0.23 -0.54 0.59 1.58 1.13 -0.4 -0.58 0.19 1.4 1.72 0.72 -0.22 -0.14 0.12 0.15 0.29 0.03 0.23 -0.45 -2 -1.51 -1.74 0.37 -1.51 -1.84 -0.22 -2.25 0.04 -2.18 -1.25 0.26 -0.17 0.07 -0.32 -0.94 -0.74 -0.2 -0.23 -0.01 -0.29 0.25 -0.1 0.12 0.6 0.2 -0.22 0.16 0.25 nc 2
YER013W 0.37 0.29 0.04 0.24 0.12 -0.23 -0.17 0.26 -0.09 0.2 0.53 -0.34 -0.15 -0.17 1.1 -0.04 -0.06 -0.4 0.14 -0.67 -0.67 1.01 -0.01 -0.6 -0.22 -0.81 -0.56 -0.81 -0.62 -1.15 -1.69 -0.6 -0.47 0.15 -0.12 -0.43 -0.49 -0.76 -0.49 0.2 -0.4 -1.18 -0.32 0.39 -0.42 -0.27 -1.64 -0.4 -0.51 -0.4 -0.67 -0.92 -0.76 -0.17 -0.51 -0.79 -0.27 0.16 0.04 0.29 0.31 -0.01 -0.1 0.44 -0.89 -0.42 -0.86 -0.29 0.51 0.83 0.93 0.59 -0.34 -0.09 0.11 -0.01 -0.04 0.36 -0.22 nc 2
YER014W -0.15 -0.38 0.4 0.96 0.34 0.01 0.37 0.2 -0.03 -0.07 -0.01 0.12 0.01 0.01 -0.07 -0.01 -0.79 -0.2 0.53 0.08 -0.3 -0.17 -0.25 -0.51 -0.27 0.07 -0.36 -0.32 -0.47 0.04 -0.49 0.07 0.14 0.28 0.83 -0.09 -0.2 -0.4 0.12 0.21 0.28 -0.03 -0.18 0.44 -1.22 0.39 0.41 -0.15 0.7 0.44 0.9 0.88 0.86 -0.3 0.04 0.33 1.39 1.55 -0.01 0.43 0.07 0.31 0.07 0.58 -0.18 -0.38 -0.15 -0.38 -0.18 0.36 -0.15 -0.09 -0.22 -0.25 0.31 -0.01 -0.14 0.86 0.54 nc 2
YER016W 0.03 -0.4 0.1 -0.07 0.28 0.3 0.15 -0.15 -0.36 -0.25 0.18 0.1 -0.03 0.01 0.15 -0.09 0.06 -0.23 -0.86 -0.62 -0.56 -0.47 -0.3 -0.4 -0.17 -0.06 -0.23 -0.2 -0.27 -0.06 -0.18 -0.27 -0.62 -0.17 0.38 -0.09 -0.29 -0.79 -0.04 0.33 0.34 -0.06 -0.64 -0.27 0.43 0.33 0.54 -0.12 0.96 0.93 1.55 1.32 1.09 -0.18 0.28 0.04 1.49 1.2 -0.29 -0.14 -0.36 -0.25 -0.2 -0.25 0.1 0.01 -0.29 -0.43 -0.3 0.32 -0.84 -0.94 -0.03 0.12 0.44 -0.17 -0.03 -0.07 -0.36 nc 2
YER031C 0.01 -0.14 -0.01 -0.09 -0.1 -0.76 0.25 0.3 0.51 -0.03 0.2 0.16 -0.06 -0.01 0.21 0.04 0.5 -0.15 0.1 0.15 -0.15 0.28 0.23 -0.03 0.15 0.48 0.11 -0.22 0.26 0.12 -0.22 0.07 0.16 0.18 0.26 0.28 0.7 0.77 0.6 0.57 0.36 0.57 0.82 0.44 0.57 0.57 0.85 -0.29 0.4 -0.23 -0.56 -0.89 -0.71 0.71 -0.43 -0.62 0.46 0.07 -0.22 -0.6 -0.45 -0.81 -0.43 -0.38 0.37 0.23 -0.14 -0.42 -0.06 0.26 0.33 -0.2 0.28 -0.25 0.48 0.03 0.19 0.29 -0.3 nc 2
YER032W -1.03 -1.25 -0.84 -0.49 0.03 0.51 0.29 0.23 -0.07 -0.54 -0.58 -0.74 -0.25 -0.15 0.4 0.14 0.25 -0.22 -1.03 -0.94 -0.76 -0.92 -0.47 -0.74 -0.45 -0.03 -0.14 -0.32 -0.67 -0.1 -0.1 -0.62 -0.71 -0.4 -0.03 0.4 0.33 -0.3 -0.58 -0.47 0.33 0.16 0.08 -0.92 -0.45 -0.69 -0.51 -0.23 0.29 0.08 0.16 -0.15 -0.12 -0.1 -0.29 -0.58 0.99 0.73 -0.14 -0.43 -0.45 -0.79 -0.18 0.21 0.15 -0.49 -0.29 -0.71 -1.06 0.21 -0.69 -0.89 0.01 -0.25 -0.03 -0.29 -0.27 -0.09 -0.84 nc 2
YER042W -0.29 1.1 -0.2 -0.06 -0.42 0.44 0.32 0.7 0.42 0.06 0.03 -0.14 -0.18 -0.3 -0.29 0.1 0.18 0.29 -0.25 0.61 0.1 -0.43 0.23 0.14 0.32 -0.34 -0.34 -0.12 0.31 -0.25 -0.58 -0.3 -0.49 -0.12 0.4 0.81 0.51 -0.17 -0.1 0.3 0.71 0.19 0.12 0.11 0.19 0.07 0.23 0.29 0.69 0.11 0.9 0.88 1.07 0.45 0.49 0.58 0.75 0.54 -0.58 -0.69 -0.34 -0.56 -0.36 -0.12 -0.62 -0.56 -0.89 -0.54 -0.38 0.15 -0.03 -0.23 -0.04 -0.03 0.18 -0.42 -0.51 0.1 -0.74 nc 2
YER043C 0.15 -0.07 0.11 -0.04 0.36 -0.01 -0.25 0.52 0.64 0.39 1.12 0.34 0.34 0.31 0.7 0.8 -0.3 -0.3 -1.94 -0.62 -0.17 0.32 0.7 0.76 0.25 0.69 0.01 0.34 0.25 -0.01 -0.49 -0.22 -0.14 -0.18 -0.03 1.42 0.48 0.21 0.16 0.25 -0.1 -0.07 -0.12 0.03 -0.38 -0.67 -0.58 0.12 -1.12 -1.03 -1.94 -1.89 -2.18 -0.47 -1.09 -1.36 -1.69 -1.56 0.3 -0.76 -1.29 -0.47 -0.32 -1 -0.34 -0.51 -0.07 -0.12 0.1 -0.27 -0.45 0.8 0.54 0.39 0.7 -0.6 -0.43 -1.03 -1.56 nc 2
YER060W -0.14 0.11 -0.06 0.44 0.29 0.34 0.23 -0.04 0.18 -0.27 0.86 -0.34 -0.01 -0.25 0.82 0.11 -0.34 -0.42 -0.67 -0.6 -0.27 0.1 -0.29 -0.22 -0.4 -0.43 -0.23 -0.22 -0.81 -0.69 -0.54 -0.32 0.04 -0.36 -0.54 -0.25 -0.25 -0.14 -0.09 -0.07 0.39 -0.34 -0.1 0.49 -0.58 -0.34 -0.43 -0.18 0.26 0.41 0.04 0.03 0.46 -0.22 -0.84 -0.4 -0.74 -0.97 -0.29 -0.58 -0.38 0.3 -0.54 0.46 -0.36 -0.47 -1.29 -1.15 0.19 0.16 0.66 0.01 -0.03 0.3 0.37 -0.56 -0.42 -1.22 -1.69 nc 2
YER065C -0.76 -0.04 -0.2 -0.12 -0.12 -0.09 -0.42 0.03 0.04 -0.38 -0.3 -0.4 -0.22 -0.34 -0.07 0.16 -0.25 -0.09 -1.06 1.24 0.43 0.55 -0.76 -0.49 0.51 1.16 1.71 1.06 0.4 1.11 1.56 0.93 -0.01 -0.07 -0.1 -0.36 0.04 0.36 0.04 0.46 0.1 0.33 0.04 -0.04 0.44 0.53 0.1 0.36 0.7 -1.74 -0.49 -0.15 0.41 2.34 1.4 2.22 -0.47 -3.84 -0.06 0.37 0.59 0.58 -0.71 0.44 -0.49 -0.92 -0.54 -0.12 -0.38 0.43 0.5 0.9 0.12 0.16 0.55 0.08 -0.15 0.54 3.7 nc 2
YER090W -0.07 -0.23 -0.09 -0.07 -0.2 0.07 -0.07 0.03 0.26 -0.18 0.42 -0.06 0.08 -0.03 0.06 0.31 -0.18 0.16 -0.71 -0.07 0.12 -0.01 -0.04 -0.18 -0.12 -0.09 -0.15 0.14 0.12 0.08 -0.15 0.08 -0.49 0.4 0.15 -0.58 -0.97 -0.51 -0.09 0.23 0.37 -1.03 -0.67 0.1 -1.18 -0.03 -1.15 0.18 -0.17 -1.09 -1.36 -0.84 -0.67 1.2 -0.3 0.36 -0.69 -1.69 -0.22 -0.56 -0.74 -0.34 -0.2 -0.71 -0.18 -0.2 -0.45 -0.42 -0.23 -0.09 -0.38 -0.25 0.36 0.23 0.24 -0.43 -0.58 -0.51 -0.56 nc 2
YER091C -0.32 0.73 0.26 -0.51 -0.97 0.62 0.7 0.78 0.31 -0.17 -0.04 -0.17 -0.45 -0.49 -0.06 0.57 -0.12 0.04 -0.86 1.61 0.2 0.64 -0.23 -0.42 -0.49 -0.2 0.03 0.45 0.07 0.16 0.44 0.3 -0.4 -0.64 -0.18 1.02 -0.43 -1.36 0.14 0.86 0.87 -0.27 -0.67 0.12 0.61 0.48 0.32 0.16 1.04 0.24 -1.18 -0.36 0.6 0.86 -1.51 -0.2 -0.42 -3.06 0.45 -0.6 0.43 1.25 0.77 1 -2.94 -3.18 -1.47 0.11 0.07 0.93 2.14 1.87 0.23 0.33 0.5 -0.1 -0.4 -0.51 -0.45 nc 2
YER110C -0.14 -0.86 -0.6 -0.76 -0.36 -0.45 -0.01 -0.12 0.24 0.07 -0.09 -0.01 -0.15 -0.22 0.08 -0.1 0.03 -0.23 -2.32 -0.89 -0.74 -0.09 0.07 0.37 0.12 -0.17 -0.22 0.37 -0.27 -0.29 -1.18 -0.36 -0.07 -0.1 -0.04 0.18 0.19 0.15 -0.42 -0.67 -0.51 -0.4 -0.23 -0.97 -1.06 -0.97 -1.22 -0.32 -0.54 -0.34 -1.03 -0.18 -1.12 -0.51 -0.79 -0.97 -0.79 -0.2 -0.1 -1.51 -3.18 -1.15 -0.09 0.36 -1.09 -1.89 -1.69 -1.56 -0.42 -0.94 -0.94 -0.47 0.23 0.1 0.58 -0.6 -0.86 -1.94 -1.69 nc 2
YER114C -0.58 -0.23 -0.84 -0.27 -0.09 0.11 -0.17 0.08 0.37 -0.12 0.11 -0.07 -0.04 0.18 0.32 0.54 -0.15 0.11 -0.04 0.18 0.2 0.36 0.11 0.29 0.23 0.2 0.33 0.2 0.01 0.24 0.32 0.11 -0.2 -0.07 -0.22 0.01 -0.6 -0.43 -0.34 0.55 0.41 -0.56 -0.4 0.25 -0.79 -0.79 -0.79 -0.03 0.34 0.77 0.5 0.34 0.62 -0.62 -0.36 -0.38 1.2 1.12 0.34 -0.34 -0.34 0.49 -0.12 0.4 -0.62 -0.69 -0.69 -0.64 0.12 0.16 0.57 0.92 0.08 -0.04 -0.18 -0.38 -0.4 -0.67 -0.74 nc 2
YER142C 0.37 0.4 0.38 0.08 0.11 0.38 -0.17 0.3 0.16 -0.12 0.28 0.14 0.01 -0.01 -0.2 0.04 -0.12 0.03 0.83 0.33 -0.06 -0.47 -0.27 -0.47 -0.36 -0.27 -0.54 -0.58 -0.14 -0.38 -0.25 -0.25 -0.45 -0.4 -0.47 -0.56 -0.64 -0.3 -0.27 -0.43 -0.23 -0.04 -0.04 0.59 -0.27 0.41 0.79 -0.06 0.31 -0.14 -0.6 -0.69 -0.47 0.52 -0.49 -0.67 0.42 0.83 -0.06 0.38 0.68 0.07 -0.2 2.03 -0.56 0.25 0.08 -0.38 -0.4 0.73 0.43 0.58 -0.32 -0.09 0.32 -0.01 -0.54 1.14 1.01 nc 2
YER145C -0.92 -0.64 -0.84 -0.23 -0.27 0.1 0.03 0.26 0.4 0.72 0.7 0.63 0.7 0.51 0.58 0.6 0.64 0.73 0.32 1.31 0.86 0.23 0.59 0.55 0.56 0.38 0.15 0.42 0.36 -0.18 -0.25 0.26 -0.76 -0.81 -1.03 -0.64 0.39 1.3 0.77 0.8 0.51 -0.06 1.21 1.32 0.43 0.04 0.08 0.14 0.04 -1 -1.4 -1.18 -0.94 0.82 -0.58 -0.45 -0.81 -2 0.04 -0.12 -0.07 0.15 0.49 0.76 0.79 -1.22 -0.76 -0.56 0.01 0.52 -0.64 0.25 0.16 0.1 -0.42 -0.64 -1.09 -1.43 -1.29 nc 2
YER149C -0.12 -0.58 -0.15 0.28 0.11 -0.09 -0.01 -0.18 -0.32 -0.18 -0.15 0.12 0.04 -0.23 -0.36 -0.29 -0.06 -0.29 0.06 -0.56 -0.3 0.46 0.57 0.36 0.08 -0.23 -0.3 -0.17 0.12 -0.84 -0.67 -0.18 0.08 0.33 0.58 0.14 -1.12 -0.74 -1.4 1.26 0.38 -0.76 -0.6 -0.6 0.03 -0.18 -0.01 -0.43 0.03 0.33 1.52 1.49 0.98 -0.23 0.76 0.34 0.62 0.32 -0.36 -0.76 -0.54 -0.29 -0.29 0.08 -0.25 -0.12 -0.45 -0.14 -0.43 0.37 0.53 0.7 -0.36 -0.25 0.43 -0.36 -0.54 0.24 -0.64 nc 2
YER159C -0.27 0.18 -0.3 0.04 -0.62 0.3 -0.17 0.21 0.1 0.3 -0.1 -0.06 -0.14 -0.12 -0.2 0.18 0.1 0.25 0.68 0.55 0.07 0.41 0.64 0.63 0.57 0.36 0.23 0.12 0.64 0.15 0.23 0.33 -0.2 0.29 0.11 -0.27 -0.23 -0.01 -0.04 -0.12 -0.04 -0.22 0.15 1.37 0.31 -0.12 0.53 0.19 0.44 0.06 0.25 0.37 0.4 0.31 0.34 0.24 0.12 -0.38 -0.25 -0.51 -0.23 -0.69 -0.79 -0.15 -0.07 0.89 0.12 0.58 -0.74 0.2 -0.32 -0.42 -0.04 0.23 0.45 -0.32 -0.1 0.34 0.41 nc 2
